data,pais,novos_casos,novos_obitos,total_casos,total_obitos
2019-12-31,Brasil,0,0,0,0
2020-01-01,Brasil,0,0,0,0
2020-01-02,Brasil,0,0,0,0
2020-01-03,Brasil,0,0,0,0
2020-01-04,Brasil,0,0,0,0
2020-01-05,Brasil,0,0,0,0
2020-01-06,Brasil,0,0,0,0
2020-01-07,Brasil,0,0,0,0
2020-01-08,Brasil,0,0,0,0
2020-01-09,Brasil,0,0,0,0
2020-01-10,Brasil,0,0,0,0
2020-01-11,Brasil,0,0,0,0
2020-01-12,Brasil,0,0,0,0
2020-01-13,Brasil,0,0,0,0
2020-01-14,Brasil,0,0,0,0
2020-01-15,Brasil,0,0,0,0
2020-01-16,Brasil,0,0,0,0
2020-01-17,Brasil,0,0,0,0
2020-01-18,Brasil,0,0,0,0
2020-01-19,Brasil,0,0,0,0
2020-01-20,Brasil,0,0,0,0
2020-01-21,Brasil,0,0,0,0
2020-01-22,Brasil,0,0,0,0
2020-01-23,Brasil,0,0,0,0
2020-01-24,Brasil,0,0,0,0
2020-01-25,Brasil,0,0,0,0
2020-01-26,Brasil,0,0,0,0
2020-01-27,Brasil,0,0,0,0
2020-01-28,Brasil,0,0,0,0
2020-01-29,Brasil,0,0,0,0
2020-01-30,Brasil,0,0,0,0
2020-01-31,Brasil,0,0,0,0
2020-02-01,Brasil,0,0,0,0
2020-02-02,Brasil,0,0,0,0
2020-02-03,Brasil,0,0,0,0
2020-02-04,Brasil,0,0,0,0
2020-02-05,Brasil,0,0,0,0
2020-02-06,Brasil,0,0,0,0
2020-02-07,Brasil,0,0,0,0
2020-02-08,Brasil,0,0,0,0
2020-02-09,Brasil,0,0,0,0
2020-02-10,Brasil,0,0,0,0
2020-02-11,Brasil,0,0,0,0
2020-02-12,Brasil,0,0,0,0
2020-02-13,Brasil,0,0,0,0
2020-02-14,Brasil,0,0,0,0
2020-02-15,Brasil,0,0,0,0
2020-02-16,Brasil,0,0,0,0
2020-02-17,Brasil,0,0,0,0
2020-02-18,Brasil,0,0,0,0
2020-02-19,Brasil,0,0,0,0
2020-02-20,Brasil,0,0,0,0
2020-02-21,Brasil,0,0,0,0
2020-02-22,Brasil,0,0,0,0
2020-02-23,Brasil,0,0,0,0
2020-02-24,Brasil,0,0,0,0
2020-02-25,Brasil,0,0,0,0
2020-02-26,Brasil,1,0,1,0
2020-02-27,Brasil,0,0,1,0
2020-02-28,Brasil,0,0,1,0
2020-02-29,Brasil,0,0,1,0
2020-03-01,Brasil,1,0,2,0
2020-03-02,Brasil,0,0,2,0
2020-03-03,Brasil,0,0,2,0
2020-03-04,Brasil,0,0,2,0
2020-03-05,Brasil,1,0,3,0
2020-03-06,Brasil,5,0,8,0
2020-03-07,Brasil,5,0,13,0
2020-03-08,Brasil,0,0,13,0
2020-03-09,Brasil,12,0,25,0
2020-03-10,Brasil,0,0,25,0
2020-03-11,Brasil,9,0,34,0
2020-03-12,Brasil,18,0,52,0
2020-03-13,Brasil,25,0,77,0
2020-03-14,Brasil,21,0,98,0
2020-03-15,Brasil,23,0,121,0
2020-03-16,Brasil,79,0,200,0
2020-03-17,Brasil,34,0,234,0
2020-03-18,Brasil,57,1,291,1
2020-03-19,Brasil,137,3,428,4
2020-03-20,Brasil,193,2,621,6
2020-03-21,Brasil,283,5,904,11
2020-03-22,Brasil,224,7,1128,18
2020-03-23,Brasil,418,7,1546,25
2020-03-24,Brasil,345,9,1891,34
2020-03-25,Brasil,310,12,2201,46
2020-03-26,Brasil,232,11,2433,57
2020-03-27,Brasil,482,20,2915,77
2020-03-28,Brasil,502,15,3417,92
2020-03-29,Brasil,487,22,3904,114
2020-03-30,Brasil,352,22,4256,136
2020-03-31,Brasil,323,23,4579,159
2020-04-01,Brasil,1138,42,5717,201
2020-04-02,Brasil,1119,40,6836,241
2020-04-03,Brasil,1074,58,7910,299
2020-04-04,Brasil,1146,60,9056,359
2020-04-05,Brasil,1222,73,10278,432
2020-04-06,Brasil,852,54,11130,486
2020-04-07,Brasil,926,67,12056,553
2020-04-08,Brasil,1661,114,13717,667
2020-04-09,Brasil,2210,133,15927,800
2020-04-10,Brasil,1930,141,17857,941
2020-04-11,Brasil,1781,115,19638,1056
2020-04-12,Brasil,1089,68,20727,1124
2020-04-13,Brasil,1442,99,22169,1223
2020-04-14,Brasil,1261,105,23430,1328
2020-04-15,Brasil,1832,204,25262,1532
2020-04-16,Brasil,3058,204,28320,1736
2020-04-17,Brasil,2105,188,30425,1924
2020-04-18,Brasil,3257,217,33682,2141
2020-04-19,Brasil,2917,206,36599,2347
2020-04-20,Brasil,2055,115,38654,2462
2020-04-21,Brasil,1927,113,40581,2575
2020-04-22,Brasil,2498,166,43079,2741
2020-04-23,Brasil,2678,165,45757,2906
2020-04-24,Brasil,3735,407,49492,3313
2020-04-25,Brasil,3503,357,52995,3670
2020-04-26,Brasil,5514,346,58509,4016
2020-04-27,Brasil,3379,189,61888,4205
2020-04-28,Brasil,4613,338,66501,4543
2020-04-29,Brasil,5385,474,71886,5017
2020-04-30,Brasil,6276,449,78162,5466
2020-05-01,Brasil,7218,435,85380,5901
2020-05-02,Brasil,6209,428,91589,6329
2020-05-03,Brasil,4970,421,96559,6750
2020-05-04,Brasil,4588,275,101147,7025
2020-05-05,Brasil,6633,296,107780,7321
2020-05-06,Brasil,6935,600,114715,7921
2020-05-07,Brasil,10503,615,125218,8536
2020-05-08,Brasil,9888,610,135106,9146
2020-05-09,Brasil,10222,751,145328,9897
2020-05-10,Brasil,10611,730,155939,10627
2020-05-11,Brasil,6760,496,162699,11123
2020-05-12,Brasil,5632,396,168331,11519
2020-05-13,Brasil,9258,881,177589,12400
2020-05-14,Brasil,11385,749,188974,13149
2020-05-15,Brasil,13944,844,202918,13993
2020-05-16,Brasil,15305,824,218223,14817
2020-05-17,Brasil,14919,816,233142,15633
2020-05-18,Brasil,7938,485,241080,16118
2020-05-19,Brasil,13140,674,254220,16792
2020-05-20,Brasil,17408,1179,271628,17971
2020-05-21,Brasil,19951,888,291579,18859
2020-05-22,Brasil,18508,1188,310087,20047
2020-05-23,Brasil,20803,1001,330890,21048
2020-05-24,Brasil,16508,965,347398,22013
2020-05-25,Brasil,15813,653,363211,22666
2020-05-26,Brasil,11687,807,374898,23473
2020-05-27,Brasil,16324,1039,391222,24512
2020-05-28,Brasil,20599,1086,411821,25598
2020-05-29,Brasil,26417,1156,438238,26754
2020-05-30,Brasil,26928,1124,465166,27878
2020-05-31,Brasil,33274,956,498440,28834
2020-06-01,Brasil,16409,480,514849,29314
2020-06-02,Brasil,11598,623,526447,29937
2020-06-03,Brasil,28936,1262,555383,31199
2020-06-04,Brasil,28633,1349,584016,32548
2020-06-05,Brasil,30916,1473,614932,34021
2020-06-06,Brasil,30830,1005,645762,35026
2020-06-07,Brasil,27075,904,672837,35930
2020-06-08,Brasil,18921,525,691758,36455
2020-06-09,Brasil,15654,679,707412,37134
2020-06-10,Brasil,32091,1272,739503,38406
2020-06-11,Brasil,32913,1274,772416,39680
2020-06-12,Brasil,30412,1239,802828,40919
2020-06-13,Brasil,25982,909,828810,41828
2020-06-14,Brasil,21704,892,850514,42720
2020-06-15,Brasil,17110,612,867624,43332
2020-06-16,Brasil,20647,627,888271,43959
